day,name,start,end,description
1,"The GunZ of Boston",18:00,19:00,"HE GUNZ OF BOSTON are a CLASSIC ROCK group. Their MUSIC harks back to the days of that great, bygone era of CLASSIC ROCK , the SEVENTIES and the EIGHTIES. When MUSIC would combine POWER and EMOTION, PASSION and GRACE. When a song would tell a story, when a SINGER was a SINGER and ROCK GUITARS ruled the world. (thegunzofboston.bandcamp.com)"
1,"Funktie Elders",21:30,22:30,"Funktie Elders is een achtkoppige coverband uit Nijmegen, opgericht in 2021. Met een onweerstaanbare mix van energie, talent en aanstekelijke muzikaliteit, toveren ze elk optreden om tot een gegarandeerd feest. (vierdaagsefeesten.nl)"
1,"Dollars Mash-up",00:30,01:30,""
2,"Aangeschoten",18:00,19:00,""
2,"KeToBra",20:30,21:30,"KeToBra is een Nederlandstalige popgroep uit Nijmegen, opgericht in 2017 door Ke, To en Bra. Beginnend als panfluit-groep sloeg Ketobra na hun single ""WiFi In De Trein"" een nieuwe richting in en lieten de panfluitmuziek achter zich. De formule van de band bestaat voornamelijk uit het combineren van humoristische teksten en diverse genres. (popronde.nl)"
2,"The Evergreens",00:30,02:30,"The Evergreens met een breed assortiment met rock en pop! Op de blokken tussen de menigte maakt dit een speciaal en uniek optreden. De fatastische stem van Robine Roordink wordt begeleid door gitaarvirtuoos Jeroen Wallar-Diemont, Kimon op de bas en Twan voor het ritme!! De zaterdag huisband van Dollars Nijmegen! (vierdaagsefeesten.nl)"
3,"Tachycardia",19:00,20:00,"Dit arsenaal aan muzikaal talent, dat al sinds 2004 onder de naam Tachycardia faam vergaart zowel binnen als buiten de [Medische] faculteit, bestaat uit zeven muzikanten en een manager. De band beschikt over een drummer, pianist, saxofonist, (bas) gitaristen en zangers. Dit geeft ze de mogelijkheid een zeer breed repetoire ten gehore te brengen aan zowel trouwe fans als nieuwe fans van de altijd groeiende fanbase. Aangezien 'een breed repertoire' niet specificeert of dat loopt van Jan Smit tot Lee Towers of van The Red Hot Chili Peppers tot Kyteman zal dit bericht daar iets duidelijker over zijn; het tweede. Tot gecoverde artiesten behoren onder andere RHCP, Arctic Monkeys, Bruno Mars, Calvin Harris, Guns 'n Roses, Robbie Williams, Imagine Dragons en nog veel meer in dit altijd veranderende repertoire. Belangrijker is wellicht om te vermelden dat er genoeg muzikaliteit aanwezig is om een eigen creatieve draai te geven aan iedere cover. Maar wat is een foutloze muzikale uitvoering zonder bijpassend charisma om de muziek tot leven te brengen? Daarom staat Tachycardia met een fysiologische tachycardie op het podium. Tachycardia treedt met veel plezier op tijdens activiteiten van de MFVN, zoals de ouderdag, de muziekmaand van de Aesculaaf en feestelijke onderwijsafsluitingen. Ook wordt buiten de faculteit hard aan de weg getimmerd en kan je Tachycardia zien op menig gala en feest. (mfvn.nl)"
3,"Bootleg Betty",22:00,23:00,"Bootleg Betty deinst er niet voor terug om je alle hoeken van de rootsmuziek te laten horen. Vol energie vuurt het Nijmeegse vijftal haar meerstemmige mix van rockabilly, pop, country en rock-'n-roll op je af. De eigentijdse benadering van deze traditionele invloeden resulteert in een herkenbaar geluid dat alles behalve gedateerd is. (bootlegbetty.nl)"
3,"The Newly Wets",00:30,01:30,"Van country tot pop naar blues en rock, het komt allemaal voorbij. The Newly Wets geven muziek met een knipoog een nieuwe betekenis. (vierdaagsefeesten.nl)"
4,"Band Zonder Faam",18:00,19:00,""
